,partyKey,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
225,9,2,3,2,4,5,4,3,2,3,3,4,3,0,2,1
226,3,1,2,3,1,4,5,5,5,1,1,1,5,1,5,4
227,8,1,3,1,5,5,4,5,4,1,1,1,5,4,3,4
228,6,2,4,1,3,5,5,4,5,2,1,3,5,1,2,3
229,6,3,4,1,4,5,4,2,5,1,3,4,5,4,3,2
230,2,4,1,3,4,5,4,1,2,1,1,5,4,5,5,5
231,2,3,3,4,4,2,4,3,1,3,1,4,0,5,4,4
232,2,3,2,3,2,1,4,2,2,1,2,5,2,4,4,2
233,7,1,2,3,1,5,5,5,5,1,2,1,5,3,1,4
234,4,5,5,5,5,1,3,1,2,4,3,5,3,3,4,1
235,4,5,3,5,5,1,3,3,3,3,5,5,1,5,4,1
236,1,1,1,2,5,4,1,1,1,5,2,5,3,5,4,3
237,9,4,5,3,4,3,3,2,5,3,2,5,3,5,2,3
238,3,1,2,2,4,5,5,5,4,1,1,1,5,1,5,5
239,6,1,1,1,2,5,3,5,5,1,1,4,5,2,3,3
240,5,5,2,5,5,2,2,2,1,5,3,5,3,5,5,3
241,7,1,2,1,4,4,4,5,5,3,1,4,5,1,4,5
242,1,2,1,4,4,1,4,5,1,4,2,1,4,4,2,2
243,1,1,5,2,4,2,5,5,1,5,3,4,4,4,4,1
244,1,2,1,3,4,5,5,5,1,4,3,4,4,3,5,2
245,1,2,1,1,4,5,5,4,1,5,2,3,5,4,5,1
246,9,2,4,4,4,4,3,4,2,3,2,4,5,4,2,2
247,9,1,3,4,5,3,5,4,4,4,2,5,4,4,3,2
248,9,2,1,5,4,2,4,3,1,5,3,1,5,5,3,3
249,3,1,1,1,1,5,5,5,5,1,1,1,5,1,5,4
250,3,1,2,1,1,5,5,5,4,2,2,4,4,1,5,3
251,8,1,2,2,2,4,4,4,2,2,2,2,3,3,2,3
252,8,2,2,2,2,4,4,3,2,1,1,2,4,3,4,4
253,8,1,2,1,2,5,5,5,4,1,1,3,5,2,4,4
254,2,2,3,2,3,3,1,2,1,3,1,4,4,3,4,4
255,2,2,3,4,3,2,5,4,2,2,1,5,5,2,3,2
256,2,3,4,3,3,4,2,2,4,1,2,5,4,2,5,1
257,2,3,4,2,4,4,4,2,3,3,1,2,5,4,4,4
258,2,3,4,2,2,3,3,2,2,3,1,4,3,3,4,2
259,2,3,4,3,5,2,3,2,1,2,2,5,5,4,5,1
260,2,2,4,2,4,5,4,3,4,3,3,4,3,3,4,3
261,2,4,5,5,4,2,4,3,2,3,2,2,4,4,5,4
262,2,4,4,2,4,4,4,4,2,3,2,4,5,3,4,3
263,2,4,3,3,4,3,5,2,1,1,3,4,5,2,5,3
264,5,5,3,5,5,1,4,3,1,5,4,5,3,1,5,3
265,1,2,3,3,2,3,4,5,1,4,1,2,1,4,2,1
266,9,3,4,5,5,2,5,2,5,3,1,5,3,5,5,1
267,3,1,1,1,2,5,5,5,5,1,1,3,5,1,5,4
268,2,1,4,5,5,5,2,4,3,1,1,4,5,5,2,2
269,2,5,5,5,5,4,4,4,1,3,2,5,3,5,5,1
270,7,2,4,1,2,5,5,4,4,2,2,2,5,4,4,3
271,7,1,4,3,1,4,5,5,3,1,1,1,5,3,3,4
272,4,5,2,5,5,3,2,4,4,3,3,4,4,5,5,5
273,4,4,4,5,5,2,5,3,2,4,1,4,3,4,5,2
274,1,4,1,5,5,2,2,3,1,5,3,1,1,4,1,2
275,9,4,2,4,5,4,4,5,2,2,2,4,5,4,2,4
276,9,5,2,5,5,4,2,3,1,3,2,5,5,2,5,1
277,9,5,5,5,5,3,3,4,5,3,3,5,3,3,3,1
278,9,4,3,5,5,4,2,3,1,3,4,4,4,4,4,1
279,3,1,1,1,1,2,4,5,5,1,1,2,5,1,5,5
280,2,4,4,5,4,5,5,2,1,2,3,5,4,5,5,5
281,7,1,1,1,1,4,1,5,4,4,3,2,5,4,5,5
282,7,1,1,1,1,5,5,5,3,1,3,1,5,3,5,5
283,7,2,2,2,1,3,5,5,3,2,2,2,5,2,4,4
284,7,1,2,1,3,3,5,5,5,3,1,3,5,3,3,3
285,1,2,2,3,2,3,3,3,1,5,2,4,4,4,2,2
286,1,2,1,3,1,5,4,2,1,4,1,1,2,5,3,4
287,1,1,3,2,4,3,4,4,1,3,2,2,4,4,2,2
288,9,4,5,5,5,5,1,1,4,1,3,5,2,4,4,3
289,9,4,4,4,4,4,5,5,4,3,3,4,4,4,2,4
290,9,4,4,5,5,3,3,2,3,3,3,4,2,3,3,2
291,3,1,1,1,3,5,5,5,3,3,1,3,5,3,5,5
292,8,1,1,1,5,5,5,5,1,4,2,4,5,1,4,4
293,8,2,5,2,1,5,4,4,3,3,3,4,5,3,3,4
294,8,1,3,1,1,5,5,4,3,3,1,4,4,4,4,4
295,8,3,1,1,4,2,5,5,1,2,1,3,5,4,3,4
296,2,3,3,4,2,5,3,4,1,3,1,5,5,5,5,4
297,7,1,2,1,2,4,4,4,4,2,2,4,5,2,4,4
298,4,5,4,5,5,1,1,4,3,5,5,5,3,4,5,1
299,1,1,1,1,1,1,4,4,1,5,4,4,3,4,4,1
300,1,4,1,3,4,5,5,4,1,5,5,4,4,5,4,2
301,9,4,4,2,4,4,4,4,4,3,3,4,4,4,3,1
302,9,4,5,4,3,5,3,0,3,4,0,4,3,4,3,4
303,9,4,4,1,4,5,4,5,5,4,3,5,4,5,4,4
304,9,4,4,2,4,4,2,4,1,2,2,5,4,5,4,2
305,9,5,5,2,5,5,5,5,4,5,1,5,5,4,1,5
306,9,5,4,4,5,5,3,4,2,4,4,5,3,5,2,1
307,3,1,1,1,1,5,5,5,5,1,1,1,5,1,5,5
308,8,1,1,1,5,5,5,5,4,1,4,1,5,1,1,5
309,6,3,3,2,4,5,5,4,5,1,1,4,5,4,2,3
310,6,1,1,1,2,4,5,5,4,3,1,2,4,3,2,4
311,2,5,5,5,5,5,5,5,4,5,1,5,4,5,5,4
312,2,2,4,5,2,3,3,5,1,4,4,5,4,5,5,4
313,2,4,2,4,4,5,2,3,2,1,2,5,5,4,5,4
314,2,3,1,3,4,4,3,5,4,3,2,1,3,3,5,1
315,1,3,1,5,4,5,3,5,1,5,2,5,3,5,5,3
316,9,4,2,5,5,3,1,5,3,3,2,4,3,5,4,1
317,9,3,1,3,4,4,2,4,3,3,3,5,3,4,4,2
318,9,4,4,4,4,4,4,5,2,4,2,4,5,2,4,4
319,9,5,4,5,5,3,4,4,3,4,1,5,4,5,5,1
320,3,1,1,1,1,5,5,5,5,1,1,1,5,1,5,5
321,2,3,3,5,5,5,4,4,1,2,2,5,4,4,5,3
322,5,5,1,4,4,1,2,3,1,5,4,5,4,1,2,1
323,7,1,1,1,1,1,5,5,5,1,1,1,5,1,4,5
324,1,3,2,4,2,4,4,0,1,4,1,2,4,5,5,3
325,9,3,4,5,4,5,3,4,3,1,1,5,4,4,4,1
326,9,5,2,5,5,3,4,4,2,2,1,4,4,4,3,1
327,9,4,4,5,4,4,3,2,2,3,3,5,4,5,2,1
328,9,3,5,5,5,5,5,5,3,1,1,5,5,5,1,1
329,9,4,4,5,5,1,2,2,1,4,3,5,2,5,4,1
330,9,2,2,5,3,3,4,3,3,2,4,1,3,4,4,1
331,3,1,1,3,1,1,4,5,4,1,3,1,5,1,5,5
332,3,1,1,3,2,4,4,5,5,1,1,3,5,1,5,5
333,3,1,1,3,1,5,5,5,4,3,1,1,5,1,5,5
334,2,3,4,5,5,2,2,4,1,4,2,5,5,4,5,1
335,2,1,5,5,5,3,4,4,1,2,2,5,5,3,5,2
336,7,1,4,1,2,4,5,2,4,2,2,4,5,1,4,4
337,1,2,1,3,3,5,5,5,1,5,3,3,4,2,4,1
338,9,1,3,5,5,0,4,5,2,5,1,4,5,5,2,1
339,9,2,1,5,4,4,5,5,2,3,1,5,5,4,4,1
340,9,4,4,4,5,4,2,5,2,4,2,4,2,5,4,1
341,9,4,2,5,5,4,2,2,2,1,1,5,3,4,2,1
342,3,1,2,1,2,5,5,5,4,1,1,5,5,1,5,5
343,3,1,3,1,2,5,5,5,5,1,1,1,5,1,5,5
344,8,1,4,1,4,4,4,4,1,1,1,4,4,2,1,4
345,6,4,4,3,3,4,5,5,5,3,3,5,5,3,3,3
346,7,1,2,3,1,5,5,5,5,1,1,3,4,3,2,2
347,3,1,1,1,2,4,5,5,5,1,1,1,5,1,5,5
348,3,1,1,1,2,5,5,5,4,1,1,2,5,1,4,5
349,8,1,1,1,4,5,4,4,4,1,1,4,5,1,4,1
350,8,1,2,1,1,2,4,2,4,1,1,2,4,3,4,2
351,8,1,2,1,1,5,5,4,4,2,1,2,5,3,4,3
352,8,1,1,1,1,4,5,5,4,1,1,5,5,2,4,1
353,8,1,4,2,5,5,5,1,3,2,1,2,5,2,3,3
354,7,1,2,1,2,5,5,5,5,3,1,2,5,2,4,5
355,7,1,2,1,2,4,5,5,4,3,2,1,5,1,5,2
356,7,1,2,5,3,5,5,5,3,3,2,1,5,3,4,2
357,9,2,4,2,4,2,4,4,1,2,1,3,3,4,2,1
358,9,1,2,3,5,1,4,2,1,3,3,4,4,4,3,3
359,9,4,2,5,5,3,2,4,1,2,3,5,4,4,2,2
360,9,4,4,4,5,4,5,3,3,4,2,5,4,3,3,1
361,9,3,4,3,4,3,2,4,3,3,2,3,4,3,3,3
362,9,5,4,5,5,4,2,5,4,3,2,5,5,5,3,3
363,0,3,1,3,4,4,2,4,4,1,3,3,5,1,3,5
364,8,2,3,1,3,5,4,5,4,1,1,2,4,2,4,4
365,8,1,4,3,4,5,4,4,3,1,1,2,5,1,4,4
366,8,1,2,3,2,5,5,5,3,2,1,4,5,2,4,3
367,8,1,2,1,5,5,5,4,3,4,3,1,5,4,5,4
368,8,1,2,1,2,5,4,5,4,2,2,4,5,3,5,4
369,6,3,3,3,4,3,5,5,5,1,1,4,5,4,4,4
370,6,3,4,1,2,5,5,5,5,3,1,2,5,3,5,5
371,6,2,4,3,3,5,5,5,5,1,1,1,5,2,5,4
372,2,4,4,5,5,2,4,5,3,4,2,4,3,2,5,2
373,2,3,4,4,5,5,5,3,4,5,1,5,4,3,5,2
374,2,4,5,5,5,4,5,4,1,1,1,5,4,3,5,1
375,2,3,4,2,4,4,5,5,2,2,2,5,5,4,4,3
376,7,1,4,1,1,5,5,5,4,3,2,3,5,1,2,4
377,1,1,2,4,4,4,5,4,1,5,4,4,4,4,5,4
378,1,2,1,5,4,3,5,3,2,5,5,5,3,4,4,2
379,9,4,4,5,5,3,5,4,1,3,3,4,4,5,4,3
380,3,1,2,1,2,4,5,5,5,1,1,1,5,1,5,5
381,3,1,1,1,1,5,5,5,4,2,1,1,5,1,5,5
382,3,1,1,1,2,5,5,5,4,1,1,1,5,1,5,5
383,3,1,1,1,3,4,5,4,4,2,1,1,5,2,4,4
384,3,1,1,1,1,4,4,5,5,3,4,1,5,1,3,5
385,3,1,2,1,2,4,5,4,4,3,3,1,5,2,5,4
386,8,2,2,4,2,4,4,4,1,2,2,2,4,4,2,4
387,2,3,2,4,4,5,5,3,4,5,1,1,4,3,5,4
388,2,4,5,5,5,2,5,4,1,5,2,5,2,5,4,2
389,2,4,1,5,4,3,4,2,3,3,2,4,2,4,5,2
390,2,5,4,5,5,4,3,3,3,3,4,4,4,4,5,1
391,7,1,1,1,1,5,5,5,5,1,1,3,3,3,3,5
392,7,1,2,1,1,5,5,4,4,1,1,1,5,1,4,5
393,3,1,4,1,1,5,3,5,5,1,1,1,5,1,5,5
394,7,2,4,1,2,4,4,4,4,1,2,2,5,2,4,4
395,7,1,1,1,1,5,5,3,4,1,3,1,5,1,4,5
396,7,1,1,1,1,5,5,5,4,2,1,1,5,1,5,5
397,4,5,4,5,5,1,3,3,2,3,5,5,3,4,5,2
398,1,2,1,3,4,4,5,3,1,4,4,4,5,4,4,2
399,1,4,3,5,4,4,3,5,1,5,3,4,4,5,3,2
400,9,2,3,4,4,4,2,4,3,4,2,4,4,4,2,3
401,9,3,4,2,5,4,2,4,3,2,2,5,5,4,4,1
402,9,4,5,2,5,1,5,5,3,4,1,5,5,4,3,1
403,9,3,1,3,4,4,2,4,2,3,2,4,4,4,3,1
404,9,4,3,2,4,2,3,4,2,3,1,4,5,5,5,1
